('karaf-4.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-2.2.7', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.7', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.6', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.6', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.5', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.5', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.4', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.4', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.3', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.3', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.2', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.1', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.1', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.0', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.0', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1734', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.1', 'features/core/src/main/java/org/apache/karaf/features/internal/FeaturesServiceImpl.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.2.1', 'features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.2.1', 'features/command/src/main/java/org/apache/karaf/features/command/ListFeaturesCommand.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.2.1', 'features/core/src/main/java/org/apache/karaf/features/internal/model/JaxbUtil.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.2.0', 'features/core/src/main/java/org/apache/karaf/features/internal/FeatureValidationUtil.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.2.0', 'features/command/src/main/java/org/apache/karaf/features/command/ListFeaturesCommand.java', 'KARAF-601', 'f64c821164e4a8bd30c2370de3c24005a222f5cc')
('karaf-2.4.3', 'shell/commands/src/main/java/org/apache/karaf/shell/commands/impl/NewAction.java', 'KARAF-3908', '8f4ee1ff4370fcf8934364b7b104248ea914d08c')
('karaf-2.4.3', 'log/src/main/java/org/apache/karaf/log/core/internal/LruList.java', 'KARAF-3906', '162f583d210a52d1521313411cd6d7810193221f')
('karaf-2.3.11', 'features/core/src/main/java/org/apache/karaf/features/internal/region/DigraphHelper.java', 'KARAF-1729', 'f33cc770254df7ffb010ecf95b5cbcd36b55da7d')
('karaf-2.3.11', 'features/core/src/main/java/org/apache/karaf/features/internal/service/FeaturesServiceImpl.java', 'KARAF-1729', 'f33cc770254df7ffb010ecf95b5cbcd36b55da7d')
('karaf-2.2.8', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/impl/jline/ConsoleFactoryService.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.8', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/impl/jline/LocalConsoleManager.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.7', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.7', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.6', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.6', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.5', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.5', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.4', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.4', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.3', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.3', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.2', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.1', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.1', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.0', 'webconsole/gogo/src/main/java/org/apache/karaf/webconsole/gogo/GogoPlugin.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.0', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-1723', 'c4c0875307e92d06e20e70b74b010dc99df1004a')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/impl/jline/ConsoleImpl.java', 'KARAF-1702', '5a312d6e97332da0b64c9e901e0b5f5f58dfb5bb')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/impl/jline/LocalConsoleManager.java', 'KARAF-1702', '5a312d6e97332da0b64c9e901e0b5f5f58dfb5bb')
('karaf-4.2.3', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-4.2.2', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-4.2.1', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-4.2.0', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-4.2.0.M2', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-4.2.0.M1', 'util/src/main/java/org/apache/karaf/util/jaas/JaasHelper.java', 'KARAF-6156', 'c03fa2f228852d805d1201c3a9f2b3c4abcb2a60')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/OldArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandNamesCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandNamesCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-3.0.0.RC1', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandNamesCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.10', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.10', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.10', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.10', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandNamesCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.9', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.9', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.9', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.9', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.7', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.7', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.7', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.6', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.6', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.6', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/ArgumentCompleter.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.5', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.5', 'shell/console/src/main/java/org/apache/karaf/shell/console/commands/NamespaceHandler.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.4', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-2.2.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/NameScoping.java', 'KARAF-2628', 'd75f6f0d5ecd94bcc4d0a8e2544c0837157be389')
('karaf-4.0.7', 'profile/src/main/java/org/apache/karaf/profile/assembly/Builder.java', 'KARAF-4805', 'e8a865024b09c88ab30fef61b237150b42d7fcce')
('karaf-2.3.3', 'shell/commands/src/main/java/org/apache/karaf/shell/commands/impl/ThreadsAction.java', 'KARAF-2626', 'b2cbfb5cd71838786245728b70083193bb4e0e65')
('karaf-4.0.1', 'profile/src/main/java/org/apache/karaf/profile/assembly/Builder.java', 'KARAF-3956', '59c11e4deebd6940136149a44f8485a941653e28')
('karaf-4.0.8', 'deployer/blueprint/src/main/java/org/apache/karaf/deployer/blueprint/BlueprintTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.8', 'deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.7', 'deployer/blueprint/src/main/java/org/apache/karaf/deployer/blueprint/BlueprintTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.7', 'deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.6', 'deployer/blueprint/src/main/java/org/apache/karaf/deployer/blueprint/BlueprintTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.6', 'deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.5', 'deployer/blueprint/src/main/java/org/apache/karaf/deployer/blueprint/BlueprintTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.5', 'deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.4', 'deployer/blueprint/src/main/java/org/apache/karaf/deployer/blueprint/BlueprintTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-4.0.4', 'deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringTransformer.java', 'KARAF-4802', 'e7f3071501314ea68dd330b671dff30717119eac')
('karaf-2.3.3', 'jaas/modules/src/main/java/org/apache/karaf/jaas/modules/publickey/PublickeyLoginModule.java', 'KARAF-2622', '18e8826d213613816abc8b29fd1beca985d10a5d')
('karaf-2.3.2', 'jaas/modules/src/main/java/org/apache/karaf/jaas/modules/publickey/PublickeyLoginModule.java', 'KARAF-2622', '18e8826d213613816abc8b29fd1beca985d10a5d')
('karaf-2.3.1', 'jaas/modules/src/main/java/org/apache/karaf/jaas/modules/publickey/PublickeyLoginModule.java', 'KARAF-2622', '18e8826d213613816abc8b29fd1beca985d10a5d')
('karaf-2.3.0', 'jaas/modules/src/main/java/org/apache/karaf/jaas/modules/publickey/PublickeyLoginModule.java', 'KARAF-2622', '18e8826d213613816abc8b29fd1beca985d10a5d')
('karaf-4.2.3', 'features/core/src/main/java/org/apache/karaf/features/internal/service/FeatureConfigInstaller.java', 'KARAF-6160', 'e192fffc3f8a0ae894e78cd37b0a1387075756e5')
('karaf-2.3.3', 'obr/core/src/main/java/org/apache/karaf/obr/core/internal/ObrMBeanImpl.java', 'KARAF-2615', 'f747e38a5d0c8918e0c30fa2a5a853b8399f2f48')
('karaf-4.0.1', 'jaas/modules/src/main/java/org/apache/karaf/jaas/modules/ldap/LDAPLoginModule.java', 'KARAF-3946', '4eddb09bc3e2762e75239801ec243ccbf5c2641a')
('karaf-2.2.9', 'obr/core/src/main/java/org/apache/karaf/obr/core/internal/Obr.java', 'KARAF-1765', '4085b7a841515c721de2f60fa2c254b6d570cbc5')
('karaf-2.2.9', 'obr/command/src/main/java/org/apache/karaf/obr/command/DeployCommand.java', 'KARAF-1765', '4085b7a841515c721de2f60fa2c254b6d570cbc5')
('karaf-2.2.9', 'obr/command/src/main/java/org/apache/karaf/obr/command/StartCommand.java', 'KARAF-1765', '4085b7a841515c721de2f60fa2c254b6d570cbc5')
('karaf-2.2.9', 'obr/command/src/main/java/org/apache/karaf/obr/command/ObrCommandSupport.java', 'KARAF-1765', '4085b7a841515c721de2f60fa2c254b6d570cbc5')
('karaf-4.2.3', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MojoSupport.java', 'KARAF-6170', '2a61911091934fdd47cdf5834b883840d165ed05')
('karaf-4.2.2', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MojoSupport.java', 'KARAF-6170', '2a61911091934fdd47cdf5834b883840d165ed05')
('karaf-4.2.0.M2', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MojoSupport.java', 'KARAF-6170', '2a61911091934fdd47cdf5834b883840d165ed05')
('karaf-4.2.0.M1', 'tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/MojoSupport.java', 'KARAF-6170', '2a61911091934fdd47cdf5834b883840d165ed05')
('karaf-4.2.3', 'client/src/main/java/org/apache/karaf/client/Main.java', 'KARAF-6171', 'a332fe3da223396c798cdce2e5de89ef338e12bd')
('karaf-4.2.2', 'client/src/main/java/org/apache/karaf/client/Main.java', 'KARAF-6171', 'a332fe3da223396c798cdce2e5de89ef338e12bd')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/DefaultActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/ActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Action.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/AbstractCommand.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Option.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/DefaultActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/ActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Action.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/AbstractCommand.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Option.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/ActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Action.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/AbstractCommand.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/felix/gogo/commands/Option.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/felix/gogo/commands/basic/ActionPreparator.java', 'KARAF-2606', 'b625fa5ecdeb6697e7b47740893f86e04a17be4b')
